event,event_url,fighter_red,fighter_blue,result,method,round,time,bout_url
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Carlos Ulberg,Dominick Reyes,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jimmy Crute,Ivan Erslan,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jack Jenkins,Ramon Taveras,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jake Matthews,Neil Magny,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Justin Tafa,Louie Sutherland,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Tom Nolan,Charlie Campbell,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Navajo Stirling,Rodolfo Bellato,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Cameron Rowston,Andre Petroski,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jonathan Micallef,Oban Elliott,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Jamie Mullarkey,Rolando Bedoya,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Colby Thicknesse,Josias Musasa,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Michelle Montague,Luana Carolina,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Brando Pericic,Elisha Ellison,,,,,
UFC Fight Night: Ulberg vs. Reyes,http://ufcstats.com/event-details/ed220e87bef0cc64,Loma Lookboonmee,Alexia Thainara,,,,,
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Diego Lopes,Jean Silva,win,KO/TKOPunches,2,4:48,http://ufcstats.com/fight-details/de1a3734be60e6a1
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,David Martinez,Rob Font,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/944b929130b23c2a
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Rafa Garcia,Jared Gordon,win,KO/TKOElbows,3,2:27,http://ufcstats.com/fight-details/7cbfeba85f86d1bf
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Kelvin Gastelum,Dustin Stoltzfus,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/114d2f6fcd3f6f00
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Alexander Hernandez,Diego Ferreira,win,KO/TKOPunches,2,3:46,http://ufcstats.com/fight-details/202c47db69768356
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Santiago Luna,Quang Le,win,KO/TKOPunch,1,2:48,http://ufcstats.com/fight-details/8a884a7930d75ca9
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Dusko Todorovic,Jose Daniel Medina,win,SUBRear Naked Choke,1,4:21,http://ufcstats.com/fight-details/07a378b257aad5a9
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Joaquim Silva,Claudio Puelles,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/352839a03b428e74
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Tatiana Suarez,Amanda Lemos,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/9474f64347aade7a
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Jesus Aguilar,Luis Gurule,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/3dc1a6335d890650
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Zachary Reese,Sedriques Dumas,ncnc,CNC,1,0:51,http://ufcstats.com/fight-details/d822ebc7dbc6c259
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Alden Coria,Alessandro Costa,win,KO/TKOPunches,3,0:47,http://ufcstats.com/fight-details/a1e193425e716b42
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Montse Rendon,Alice Pereira,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/c4a6174b0698652e
UFC Fight Night: Lopes vs. Silva,http://ufcstats.com/event-details/5efaaf313b652dd7,Daniil Donchenko,Rodrigo Sezinando,win,KO/TKOPunches,1,4:27,http://ufcstats.com/fight-details/3dd2fde7bff79c51
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Nassourdine Imavov,Caio Borralho,win,U-DEC,5,5:00,http://ufcstats.com/fight-details/5bcd8abf6da01dae
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Benoit Saint Denis,Mauricio Ruffy,win,SUBRear Naked Choke,2,2:56,http://ufcstats.com/fight-details/d14fea43712707f0
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Modestas Bukauskas,Paul Craig,win,KO/TKOElbow,1,5:00,http://ufcstats.com/fight-details/0149e875b31e57f8
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Mason Jones,Bolaji Oki,win,KO/TKOElbows,2,3:18,http://ufcstats.com/fight-details/69b31593175f77ec
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Axel Sola,Rhys McKee,win,KO/TKOPunch,3,2:02,http://ufcstats.com/fight-details/a47123ae6e048f11
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,William Gomis,Robert Ruchala,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/b53031bf4bd0a330
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Oumar Sy,Brendson Ribeiro,win,KO/TKOPunches,1,4:42,http://ufcstats.com/fight-details/4080b4310d82b42d
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Ante Delija,Marcin Tybura,win,KO/TKOPunches,1,2:03,http://ufcstats.com/fight-details/23dbe713c4294c66
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Kaue Fernandes,Harry Hardwick,win,KO/TKOKick,1,3:21,http://ufcstats.com/fight-details/5cd2dd6075fadcce
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Sam Patterson,Trey Waters,win,KO/TKOPunches,1,3:01,http://ufcstats.com/fight-details/420211200a35c1d1
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Robert Bryczek,Brad Tavares,win,KO/TKOPunches,3,1:43,http://ufcstats.com/fight-details/b3253e2c2d111030
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Rinat Fakhretdinov,Andreas Gustafsson,win,KO/TKOPunches,1,0:54,http://ufcstats.com/fight-details/d56a59a4c79cf515
UFC Fight Night: Imavov vs. Borralho,http://ufcstats.com/event-details/6e380a4d73ab4f0e,Sam Hughes,Shauna Bannon,win,SUBRear Naked Choke,2,1:58,http://ufcstats.com/fight-details/a38010639e61885c
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Johnny Walker,Zhang Mingyang,win,KO/TKOPunches,2,2:37,http://ufcstats.com/fight-details/2eecf0c36192e40c
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Aljamain Sterling,Brian Ortega,win,U-DEC,5,5:00,http://ufcstats.com/fight-details/58080e8989927500
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Sergei Pavlovich,Waldo Cortes-Acosta,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/5538d15c4eeac3b3
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Sumudaerji,Kevin Borjas,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/ce6bd165bef82bd7
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Taiyilake Nueraji,Kiefer Crosbie,win,KO/TKOElbows,1,3:33,http://ufcstats.com/fight-details/1452c20d964c0a63
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Gauge Young,Maheshate,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/0b1460c666e66d39
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Charles Johnson,Lone'er Kavanagh,win,KO/TKOPunch,2,4:35,http://ufcstats.com/fight-details/1ab1ed99a4bc5494
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Rongzhu,Austin Hubbard,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/f55749e32ce5c6f3
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Kyle Daukaus,Michel Pereira,win,KO/TKOElbows,1,0:43,http://ufcstats.com/fight-details/130e622d4d2aee3e
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Yizha,Westin Wilson,win,KO/TKOPunches,1,0:37,http://ufcstats.com/fight-details/f0b7caa90faf47e5
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,SuYoung You,Xiao Long,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/2f6065fe0804d1d8
UFC Fight Night: Walker vs. Zhang,http://ufcstats.com/event-details/754968e325d6f60d,Uran Satybaldiev,Diyar Nurgozhay,win,SUBEzekiel Choke,1,2:45,http://ufcstats.com/fight-details/7fc5f1dc2df84ac7
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Khamzat Chimaev,Dricus Du Plessis,win,U-DEC,5,5:00,http://ufcstats.com/fight-details/12cedec11b37ddc0
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Lerone Murphy,Aaron Pico,win,KO/TKOSpinning Back Elbow,1,3:21,http://ufcstats.com/fight-details/9fa6a029f7f8241c
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Carlos Prates,Geoff Neal,win,KO/TKOSpinning Back Elbow,1,4:59,http://ufcstats.com/fight-details/42585ce706c086de
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Michael Page,Jared Cannonier,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/9939d7073462e07e
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Tim Elliott,Kai Asakura,win,SUBGuillotine Choke,2,4:39,http://ufcstats.com/fight-details/82338ba457fbe87f
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Baisangur Susurkaev,Eric Nolan,win,SUBRear Naked Choke,2,2:01,http://ufcstats.com/fight-details/5efd13a12be06706
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Michal Oleksiejczuk,Gerald Meerschaert,win,KO/TKOPunches,1,3:03,http://ufcstats.com/fight-details/5b880d10b0ed7acc
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Loopy Godinez,Jessica Andrade,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/a2eafd9e1d5031b1
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Alexander Hernandez,Chase Hooper,win,KO/TKOPunch,1,4:58,http://ufcstats.com/fight-details/1d8dc0fb5d47357f
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Drakkar Klose,Edson Barboza,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/bc63f1b2e52f603e
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Karine Silva,Dione Barbosa,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/88020d22cf905792
UFC 319: Du Plessis vs. Chimaev,http://ufcstats.com/event-details/421ccfc6ddb17958,Joseph Morales,Alibi Idiris,win,SUBTriangle Choke,2,3:04,http://ufcstats.com/fight-details/68c423c7119004f3
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Anthony Hernandez,Roman Dolidze,win,SUBRear Naked Choke,4,2:45,http://ufcstats.com/fight-details/68fe62bac7fd8bb0
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Steve Erceg,Ode Osbourne,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/37d58369782cb86b
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Iasmin Lucindo,Angela Hill,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/646c79a7ecd12e5f
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Andre Fili,Christian Rodriguez,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/98d6771af9b0ebe5
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Jean Matsumoto,Miles Johns,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/ed5383b50ffcdded
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Christian Leroy Duncan,Eryk Anders,win,KO/TKOPunches,1,3:53,http://ufcstats.com/fight-details/75a84211f50c53f5
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Julius Walker,Rafael Cerqueira,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/3d6571790c21527c
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Elijah Smith,Toshiomi Kazama,win,KO/TKOSlam,1,4:10,http://ufcstats.com/fight-details/ae7a8f19743e8154
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Joselyne Edwards,Priscila Cachoeira,win,KO/TKOPunch,1,2:24,http://ufcstats.com/fight-details/aef44145740741b3
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Uros Medic,Gilbert Urbina,win,KO/TKOPunch,1,1:03,http://ufcstats.com/fight-details/7d923267c44dd93b
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Gabriella Fernandes,Julija Stoliarenko,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/6ef50ed03b116b60
UFC Fight Night: Dolidze vs. Hernandez,http://ufcstats.com/event-details/6cd3dfc54f01287f,Eric McConico,Cody Brundage,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/857e8facd8ff7c36
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Tatsuro Taira,HyunSung Park,win,SUBNeck Crank,2,1:06,http://ufcstats.com/fight-details/282c8c6c1ed82bfb
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Chris Duncan,Mateusz Rebecki,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/426a69e343822ab3
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Esteban Ribovics,Elves Brener,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/878941394f9e3538
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Karol Rosa,Nora Cornolle,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/c62ed8a6002b5360
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Neil Magny,Elizeu Zaleski dos Santos,win,KO/TKOPunches,2,4:39,http://ufcstats.com/fight-details/ac57250e3de89d5d
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Kevin Vallejos,Danny Silva,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/111e66eb922449e4
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Rinya Nakamura,Nathan Fletcher,win,KO/TKOKick,1,1:02,http://ufcstats.com/fight-details/eeeffa7f514e0c0e
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Rodolfo Vieira,Tresean Gore,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/45781930d64da456
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Andrey Pulyaev,Nick Klein,win,KO/TKOKick,2,1:31,http://ufcstats.com/fight-details/b3c695728e177fd4
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Austin Bashi,John Yannis,win,SUBRear Naked Choke,1,3:39,http://ufcstats.com/fight-details/07c2af68b6dbc4ec
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Rafael Estevam,Felipe Bunes,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/b47db03affb279c3
UFC Fight Night: Taira vs. Park,http://ufcstats.com/event-details/f2c934689243fe4e,Piera Rodriguez,Ketlen Souza,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/d98d6b2c13557a87
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Reinier de Ridder,Robert Whittaker,win,S-DEC,5,5:00,http://ufcstats.com/fight-details/6b8be0ee3e569ad2
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Petr Yan,Marcus McGhee,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/d4d4ee045b0ca695
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Shara Magomedov,Marc-Andre Barriault,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/582d66ce97309e29
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Asu Almabayev,Jose Ochoa,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/887c61da1a78a5e1
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Bogdan Guskov,Nikita Krylov,win,KO/TKOPunches,1,4:18,http://ufcstats.com/fight-details/77f960d82cda0b76
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Bryce Mitchell,Said Nurmagomedov,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/e72c691b7c68b03a
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Muslim Salikhov,Carlos Leal,win,KO/TKOPunch,1,0:42,http://ufcstats.com/fight-details/7c075e3383198e14
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Davey Grant,Da'Mon Blackshear,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/017a825c7820d12e
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Tabatha Ricci,Amanda Ribas,win,KO/TKOElbow,2,2:59,http://ufcstats.com/fight-details/3e6067763978d862
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Billy Elekana,Ibo Aslan,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/f9dac7702609669f
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Steven Nguyen,Mohammad Yahya,win,KO/TKO,2,5:00,http://ufcstats.com/fight-details/23ddf51ce630028d
UFC Fight Night: Whittaker vs. De Ridder,http://ufcstats.com/event-details/28d8638ea0a71908,Martin Buday,Marcus Buchecha,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/0a598768f5c8d540
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Max Holloway,Dustin Poirier,win,U-DEC,5,5:00,http://ufcstats.com/fight-details/d7507e2741fd4d05
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Paulo Costa,Roman Kopylov,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/23c963be9de38205
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Daniel Rodriguez,Kevin Holland,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/5dde61734080ac4a
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Patricio Freire,Dan Ige,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/acc961fd5cf5c62e
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Michael Johnson,Daniel Zellhuber,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/a95b03e9b5a91e47
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Vinicius Oliveira,Kyler Phillips,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/d2cb92fdf6a497e9
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Brendan Allen,Marvin Vettori,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/8e1feda9141602f1
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Nikolay Veretennikov,Francisco Prado,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/df2ed8b509fbdbdc
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Ateba Gautier,Robert Valentin,win,KO/TKOPunch,1,1:10,http://ufcstats.com/fight-details/72e477b41f44e358
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Islam Dulatov,Adam Fugitt,win,KO/TKOPunch,1,4:06,http://ufcstats.com/fight-details/37bc72d5d211b189
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Jimmy Crute,Marcin Prachnio,win,SUBArmbar,1,4:42,http://ufcstats.com/fight-details/798652dbea086910
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Ryan Spann,Lukasz Brzeski,win,SUBGuillotine Choke,1,2:47,http://ufcstats.com/fight-details/182ee320edb1b5ed
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Brunno Ferreira,Jackson McVey,win,SUBArmbar,1,3:35,http://ufcstats.com/fight-details/74099d470e8d2765
UFC 318: Holloway vs. Poirier 3,http://ufcstats.com/event-details/b8e2f10efb6eca85,Carli Judice,Nicolle Caliari,win,KO/TKOKnee,3,1:30,http://ufcstats.com/fight-details/a602c68147b752b2
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Derrick Lewis,Tallison Teixeira,win,KO/TKOPunches,1,0:35,http://ufcstats.com/fight-details/0adfc21045c02555
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Gabriel Bonfim,Stephen Thompson,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/2a03bc4c491b4c9a
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Steve Garcia,Calvin Kattar,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/f368475c366c6d85
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Morgan Charriere,Nate Landwehr,win,KO/TKOPunch,3,0:27,http://ufcstats.com/fight-details/4e5d4a36eaaa3a78
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Vitor Petrino,Austen Lane,win,SUBRear Naked Choke,1,4:16,http://ufcstats.com/fight-details/4b75d3b7738cb278
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Tuco Tokkos,Junior Tafa,win,SUBArm Triangle,2,4:25,http://ufcstats.com/fight-details/b19bf99c7eb796bc
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Chris Curtis,Max Griffin,win,S-DEC,3,5:00,http://ufcstats.com/fight-details/236f811290163dca
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Jake Matthews,Chidi Njokuani,win,SUBRear Naked Choke,1,1:09,http://ufcstats.com/fight-details/d5e3be7a07c48b08
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Eduarda Moura,Lauren Murphy,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/46bc1338a50cbeac
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Valter Walker,Kennedy Nzechukwu,win,SUBHeel Hook,1,0:54,http://ufcstats.com/fight-details/5c650ae2193ab1bc
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Mike Davis,Mitch Ramirez,win,KO/TKOPunches,2,4:08,http://ufcstats.com/fight-details/7f33fbdc35afd721
UFC Fight Night: Lewis vs. Teixeira,http://ufcstats.com/event-details/7b03d9df5910917d,Fatima Kline,Melissa Martinez,win,KO/TKOKick,3,2:36,http://ufcstats.com/fight-details/120d66cb0da0f3c3
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,Ilia Topuria,Charles Oliveira,win,KO/TKOPunch,1,2:27,http://ufcstats.com/fight-details/7a64d63e12618ba7
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,Alexandre Pantoja,Kai Kara-France,win,SUBRear Naked Choke,3,1:55,http://ufcstats.com/fight-details/8308464729ea7c40
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,Joshua Van,Brandon Royval,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/f722b96ae6862843
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,Beneil Dariush,Renato Moicano,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/1ea9ad3b6e1cba79
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,Payton Talbott,Felipe Lima,win,U-DEC,3,5:00,http://ufcstats.com/fight-details/f6a3c78f15ff26c7
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,Gregory Rodrigues,Jack Hermansson,win,KO/TKOPunch,1,4:21,http://ufcstats.com/fight-details/958522de54ccc536
UFC 317: Topuria vs. Oliveira,http://ufcstats.com/event-details/66766984842c13dc,Jose Delgado,Hyder Amil,win,KO/TKOKnee,1,0:26,http://ufcstats.com/fight-details/2f523b757f7f33a2
